"Age";"AGE DATE (AS OF DATE)";"Aliases";"ALTERNATIVE SPELLING";"Category";"Companies";"Countries";"Deceased";"DOB";"E/I";"Editor";"Entered";"Updated";"EXTERNAL SOURCES";"Further Information";"SSN";"Passports";"IDENTIFICATION NUMBERS";"Keywords";"Linked To";"Locations";"First Name";"Last Name";"PLACE OF BIRTH";"Position";"Sub-Category";"Title";"UID"
"55";"2026/09/20";"J. Herrera;Jorge Herrera Test";"Jorge Herrera";"RISK";"Mock Company 2;Demo Holdings 5";"Brazil";"";"1971-11-11";"I";"MOCK_GENERATOR";"2026/08/12";"2026/09/12";"MockSourceA;MockSourceB";"Fictitious mock record 11 for Smart Lists testing only";"99000000011";"MOCKP000011";"MOCKID0000011";"mock;test;risk";"";"Buenos Aires;Brazil";"Jorge";"Herrera";"Buenos Aires";"Public Official";"High Risk Individual";"Mr";"11"
"54";"2026/09/20";"C. Molina;Camila Molina Test";"Camila Molina";"WATCHLIST";"Mock Company 3;Demo Holdings 6";"Peru";"";"1972-12-12";"I";"MOCK_GENERATOR";"2026/08/13";"2026/09/13";"MockSourceA;MockSourceB";"Fictitious mock record 12 for Smart Lists testing only";"99000000012";"MOCKP000012";"MOCKID0000012";"mock;test;watchlist";"";"Córdoba;Peru";"Camila";"Molina";"Córdoba";"Business Executive";"Watchlist";"Ms";"12"
"53";"2026/09/20";"P. Pérez;Pablo Pérez Test";"Pablo Perez";"PEP";"Mock Company 4;Demo Holdings 7";"Argentina";"";"1973-01-13";"I";"MOCK_GENERATOR";"2026/08/14";"2026/09/14";"MockSourceA;MockSourceB";"Fictitious mock record 13 for Smart Lists testing only";"99000000013";"MOCKP000013";"MOCKID0000013";"mock;test;pep";"";"Rosario;Argentina";"Pablo";"Pérez";"Rosario";"Government Advisor";"Politically Exposed Person";"Dr";"13"
"52";"2026/09/20";"L. Fernández;Lucía Fernández Test";"Lucia Fernandez";"SANCTION";"Mock Company 5;Demo Holdings 1";"Uruguay";"";"1974-02-14";"I";"MOCK_GENERATOR";"2026/08/15";"2026/09/15";"MockSourceA;MockSourceB";"Fictitious mock record 14 for Smart Lists testing only";"99000000014";"MOCKP000014";"MOCKID0000014";"mock;test;sanction";"";"Mendoza;Uruguay";"Lucía";"Fernández";"Mendoza";"Former Official";"Sanctions";"Lic";"14"
"51";"2026/09/20";"F. García;Federico García Test";"Federico Garcia";"RISK";"Mock Company 6;Demo Holdings 2";"Paraguay";"";"1975-03-15";"I";"MOCK_GENERATOR";"2026/08/16";"2026/09/16";"MockSourceA;MockSourceB";"Fictitious mock record 15 for Smart Lists testing only";"99000000015";"MOCKP000015";"MOCKID0000015";"mock;test;risk";"14";"La Plata;Paraguay";"Federico";"García";"La Plata";"Private Individual";"High Risk Individual";"Ing";"15"
"50";"2026/09/20";"J. Torres;Julieta Torres Test";"Julieta Torres";"WATCHLIST";"Mock Company 7;Demo Holdings 3";"Chile";"";"1976-04-16";"I";"MOCK_GENERATOR";"2026/08/17";"2026/09/17";"MockSourceA;MockSourceB";"Fictitious mock record 16 for Smart Lists testing only";"99000000016";"MOCKP000016";"MOCKID0000016";"mock;test;watchlist";"";"Montevideo;Chile";"Julieta";"Torres";"Montevideo";"Public Official";"Watchlist";"Mr";"16"
"49";"2026/09/20";"R. Ruiz;Ricardo Ruiz Test";"Ricardo Ruiz";"PEP";"Mock Company 8;Demo Holdings 4";"Brazil";"2024/01/01";"1977-05-17";"I";"MOCK_GENERATOR";"2026/08/18";"2026/09/18";"MockSourceA;MockSourceB";"Fictitious mock record 17 for Smart Lists testing only";"99000000017";"MOCKP000017";"MOCKID0000017";"mock;test;pep";"";"Asunción;Brazil";"Ricardo";"Ruiz";"Asunción";"Business Executive";"Politically Exposed Person";"Ms";"17"
"48";"2026/09/20";"P. Castro;Paula Castro Test";"Paula Castro";"SANCTION";"Mock Company 9;Demo Holdings 5";"Peru";"";"1978-06-18";"I";"MOCK_GENERATOR";"2026/08/19";"2026/09/01";"MockSourceA;MockSourceB";"Fictitious mock record 18 for Smart Lists testing only";"99000000018";"MOCKP000018";"MOCKID0000018";"mock;test;sanction";"";"Santiago;Peru";"Paula";"Castro";"Santiago";"Government Advisor";"Sanctions";"Dr";"18"
"47";"2026/09/20";"N. Silva;Nicolás Silva Test";"Nicolas Silva";"RISK";"Mock Company 10;Demo Holdings 6";"Argentina";"";"1979-07-19";"I";"MOCK_GENERATOR";"2026/08/20";"2026/09/02";"MockSourceA;MockSourceB";"Fictitious mock record 19 for Smart Lists testing only";"99000000019";"MOCKP000019";"MOCKID0000019";"mock;test;risk";"";"Lima;Argentina";"Nicolás";"Silva";"Lima";"Former Official";"High Risk Individual";"Lic";"19"
"46";"2026/09/20";"C. Rodríguez;Carolina Rodríguez Test";"Carolina Rodriguez";"WATCHLIST";"Mock Company 1;Demo Holdings 7";"Uruguay";"";"1980-08-20";"I";"MOCK_GENERATOR";"2026/08/01";"2026/09/03";"MockSourceA;MockSourceB";"Fictitious mock record 20 for Smart Lists testing only";"99000000020";"MOCKP000020";"MOCKID0000020";"mock;test;watchlist";"19";"São Paulo;Uruguay";"Carolina";"Rodríguez";"São Paulo";"Private Individual";"Watchlist";"Ing";"20"
"45";"2026/09/20";"J. Martínez;Juan Martínez Test";"Juan Martinez";"PEP";"Mock Company 2;Demo Holdings 1";"Paraguay";"";"1981-09-21";"I";"MOCK_GENERATOR";"2026/08/02";"2026/09/04";"MockSourceA;MockSourceB";"Fictitious mock record 21 for Smart Lists testing only";"99000000021";"MOCKP000021";"MOCKID0000021";"mock;test;pep";"";"Buenos Aires;Paraguay";"Juan";"Martínez";"Buenos Aires";"Public Official";"Politically Exposed Person";"Mr";"21"
"44";"2026/09/20";"M. Romero;María Romero Test";"Maria Romero";"SANCTION";"Mock Company 3;Demo Holdings 2";"Chile";"";"1982-10-22";"I";"MOCK_GENERATOR";"2026/08/03";"2026/09/05";"MockSourceA;MockSourceB";"Fictitious mock record 22 for Smart Lists testing only";"99000000022";"MOCKP000022";"MOCKID0000022";"mock;test;sanction";"";"Córdoba;Chile";"María";"Romero";"Córdoba";"Business Executive";"Sanctions";"Ms";"22"
"43";"2026/09/20";"C. Álvarez;Carlos Álvarez Test";"Carlos Alvarez";"RISK";"Mock Company 4;Demo Holdings 3";"Brazil";"";"1983-11-23";"I";"MOCK_GENERATOR";"2026/08/04";"2026/09/06";"MockSourceA;MockSourceB";"Fictitious mock record 23 for Smart Lists testing only";"99000000023";"MOCKP000023";"MOCKID0000023";"mock;test;risk";"";"Rosario;Brazil";"Carlos";"Álvarez";"Rosario";"Government Advisor";"High Risk Individual";"Dr";"23"
"42";"2026/09/20";"A. Herrera;Ana Herrera Test";"Ana Herrera";"WATCHLIST";"Mock Company 5;Demo Holdings 4";"Peru";"";"1984-12-24";"I";"MOCK_GENERATOR";"2026/08/05";"2026/09/07";"MockSourceA;MockSourceB";"Fictitious mock record 24 for Smart Lists testing only";"99000000024";"MOCKP000024";"MOCKID0000024";"mock;test;watchlist";"";"Mendoza;Peru";"Ana";"Herrera";"Mendoza";"Former Official";"Watchlist";"Lic";"24"
"41";"2026/09/20";"L. Molina;Luis Molina Test";"Luis Molina";"PEP";"Mock Company 6;Demo Holdings 5";"Argentina";"";"1985-01-25";"I";"MOCK_GENERATOR";"2026/08/06";"2026/09/08";"MockSourceA;MockSourceB";"Fictitious mock record 25 for Smart Lists testing only";"99000000025";"MOCKP000025";"MOCKID0000025";"mock;test;pep";"24";"La Plata;Argentina";"Luis";"Molina";"La Plata";"Private Individual";"Politically Exposed Person";"Ing";"25"
"40";"2026/09/20";"S. Pérez;Sofía Pérez Test";"Sofia Perez";"SANCTION";"Mock Company 7;Demo Holdings 6";"Uruguay";"";"1986-02-26";"I";"MOCK_GENERATOR";"2026/08/07";"2026/09/09";"MockSourceA;MockSourceB";"Fictitious mock record 26 for Smart Lists testing only";"99000000026";"MOCKP000026";"MOCKID0000026";"mock;test;sanction";"";"Montevideo;Uruguay";"Sofía";"Pérez";"Montevideo";"Public Official";"Sanctions";"Mr";"26"
"39";"2026/09/20";"D. Fernández;Diego Fernández Test";"Diego Fernandez";"RISK";"Mock Company 8;Demo Holdings 7";"Paraguay";"";"1987-03-27";"I";"MOCK_GENERATOR";"2026/08/08";"2026/09/10";"MockSourceA;MockSourceB";"Fictitious mock record 27 for Smart Lists testing only";"99000000027";"MOCKP000027";"MOCKID0000027";"mock;test;risk";"";"Asunción;Paraguay";"Diego";"Fernández";"Asunción";"Business Executive";"High Risk Individual";"Ms";"27"
"38";"2026/09/20";"L. García;Laura García Test";"Laura Garcia";"WATCHLIST";"Mock Company 9;Demo Holdings 1";"Chile";"";"1988-04-01";"I";"MOCK_GENERATOR";"2026/08/09";"2026/09/11";"MockSourceA;MockSourceB";"Fictitious mock record 28 for Smart Lists testing only";"99000000028";"MOCKP000028";"MOCKID0000028";"mock;test;watchlist";"";"Santiago;Chile";"Laura";"García";"Santiago";"Government Advisor";"Watchlist";"Dr";"28"
"37";"2026/09/20";"M. Torres;Martín Torres Test";"Martin Torres";"PEP";"Mock Company 10;Demo Holdings 2";"Brazil";"";"1989-05-02";"I";"MOCK_GENERATOR";"2026/08/10";"2026/09/12";"MockSourceA;MockSourceB";"Fictitious mock record 29 for Smart Lists testing only";"99000000029";"MOCKP000029";"MOCKID0000029";"mock;test;pep";"";"Lima;Brazil";"Martín";"Torres";"Lima";"Former Official";"Politically Exposed Person";"Lic";"29"
"36";"2026/09/20";"V. Benítez;Valentina Benítez Test";"Valentina Benitez";"SANCTION";"Mock Company 1;Demo Holdings 3";"Peru";"";"1990-06-03";"I";"MOCK_GENERATOR";"2026/08/11";"2026/09/13";"MockSourceA;MockSourceB";"Fictitious mock record 30 for Smart Lists testing only";"99000000030";"MOCKP000030";"MOCKID0000030";"mock;test;sanction";"29";"São Paulo;Peru";"Valentina";"Benítez";"São Paulo";"Private Individual";"Sanctions";"Ing";"30"
"35";"2026/09/20";"J. Suárez;Jorge Suárez Test";"Jorge Suarez";"RISK";"Mock Company 2;Demo Holdings 4";"Argentina";"";"1991-07-04";"I";"MOCK_GENERATOR";"2026/08/12";"2026/09/14";"MockSourceA;MockSourceB";"Fictitious mock record 31 for Smart Lists testing only";"99000000031";"MOCKP000031";"MOCKID0000031";"mock;test;risk";"";"Buenos Aires;Argentina";"Jorge";"Suárez";"Buenos Aires";"Public Official";"High Risk Individual";"Mr";"31"
"34";"2026/09/20";"C. Rojas;Camila Rojas Test";"Camila Rojas";"WATCHLIST";"Mock Company 3;Demo Holdings 5";"Uruguay";"";"1992-08-05";"I";"MOCK_GENERATOR";"2026/08/13";"2026/09/15";"MockSourceA;MockSourceB";"Fictitious mock record 32 for Smart Lists testing only";"99000000032";"MOCKP000032";"MOCKID0000032";"mock;test;watchlist";"";"Córdoba;Uruguay";"Camila";"Rojas";"Córdoba";"Business Executive";"Watchlist";"Ms";"32"
"33";"2026/09/20";"P. Rodríguez;Pablo Rodríguez Test";"Pablo Rodriguez";"PEP";"Mock Company 4;Demo Holdings 6";"Paraguay";"";"1993-09-06";"I";"MOCK_GENERATOR";"2026/08/14";"2026/09/16";"MockSourceA;MockSourceB";"Fictitious mock record 33 for Smart Lists testing only";"99000000033";"MOCKP000033";"MOCKID0000033";"mock;test;pep";"";"Rosario;Paraguay";"Pablo";"Rodríguez";"Rosario";"Government Advisor";"Politically Exposed Person";"Dr";"33"
"32";"2026/09/20";"L. Martínez;Lucía Martínez Test";"Lucia Martinez";"SANCTION";"Mock Company 5;Demo Holdings 7";"Chile";"2024/01/01";"1994-10-07";"I";"MOCK_GENERATOR";"2026/08/15";"2026/09/17";"MockSourceA;MockSourceB";"Fictitious mock record 34 for Smart Lists testing only";"99000000034";"MOCKP000034";"MOCKID0000034";"mock;test;sanction";"";"Mendoza;Chile";"Lucía";"Martínez";"Mendoza";"Former Official";"Sanctions";"Lic";"34"
"66";"2026/09/20";"F. Romero;Federico Romero Test";"Federico Romero";"RISK";"Mock Company 6;Demo Holdings 1";"Brazil";"";"1960-11-08";"I";"MOCK_GENERATOR";"2026/08/16";"2026/09/18";"MockSourceA;MockSourceB";"Fictitious mock record 35 for Smart Lists testing only";"99000000035";"MOCKP000035";"MOCKID0000035";"mock;test;risk";"34";"La Plata;Brazil";"Federico";"Romero";"La Plata";"Private Individual";"High Risk Individual";"Ing";"35"
"65";"2026/09/20";"J. Álvarez;Julieta Álvarez Test";"Julieta Alvarez";"WATCHLIST";"Mock Company 7;Demo Holdings 2";"Peru";"";"1961-12-09";"I";"MOCK_GENERATOR";"2026/08/17";"2026/09/01";"MockSourceA;MockSourceB";"Fictitious mock record 36 for Smart Lists testing only";"99000000036";"MOCKP000036";"MOCKID0000036";"mock;test;watchlist";"";"Montevideo;Peru";"Julieta";"Álvarez";"Montevideo";"Public Official";"Watchlist";"Mr";"36"
"64";"2026/09/20";"R. Herrera;Ricardo Herrera Test";"Ricardo Herrera";"PEP";"Mock Company 8;Demo Holdings 3";"Argentina";"";"1962-01-10";"I";"MOCK_GENERATOR";"2026/08/18";"2026/09/02";"MockSourceA;MockSourceB";"Fictitious mock record 37 for Smart Lists testing only";"99000000037";"MOCKP000037";"MOCKID0000037";"mock;test;pep";"";"Asunción;Argentina";"Ricardo";"Herrera";"Asunción";"Business Executive";"Politically Exposed Person";"Ms";"37"
"63";"2026/09/20";"P. Molina;Paula Molina Test";"Paula Molina";"SANCTION";"Mock Company 9;Demo Holdings 4";"Uruguay";"";"1963-02-11";"I";"MOCK_GENERATOR";"2026/08/19";"2026/09/03";"MockSourceA;MockSourceB";"Fictitious mock record 38 for Smart Lists testing only";"99000000038";"MOCKP000038";"MOCKID0000038";"mock;test;sanction";"";"Santiago;Uruguay";"Paula";"Molina";"Santiago";"Government Advisor";"Sanctions";"Dr";"38"
"62";"2026/09/20";"N. Pérez;Nicolás Pérez Test";"Nicolas Perez";"RISK";"Mock Company 10;Demo Holdings 5";"Paraguay";"";"1964-03-12";"I";"MOCK_GENERATOR";"2026/08/20";"2026/09/04";"MockSourceA;MockSourceB";"Fictitious mock record 39 for Smart Lists testing only";"99000000039";"MOCKP000039";"MOCKID0000039";"mock;test;risk";"";"Lima;Paraguay";"Nicolás";"Pérez";"Lima";"Former Official";"High Risk Individual";"Lic";"39"
"61";"2026/09/20";"C. López;Carolina López Test";"Carolina Lopez";"WATCHLIST";"Mock Company 1;Demo Holdings 6";"Chile";"";"1965-04-13";"I";"MOCK_GENERATOR";"2026/08/01";"2026/09/05";"MockSourceA;MockSourceB";"Fictitious mock record 40 for Smart Lists testing only";"99000000040";"MOCKP000040";"MOCKID0000040";"mock;test;watchlist";"39";"São Paulo;Chile";"Carolina";"López";"São Paulo";"Private Individual";"Watchlist";"Ing";"40"
"60";"2026/09/20";"J. Sánchez;Juan Sánchez Test";"Juan Sanchez";"PEP";"Mock Company 2;Demo Holdings 7";"Brazil";"";"1966-05-14";"I";"MOCK_GENERATOR";"2026/08/02";"2026/09/06";"MockSourceA;MockSourceB";"Fictitious mock record 41 for Smart Lists testing only";"99000000041";"MOCKP000041";"MOCKID0000041";"mock;test;pep";"";"Buenos Aires;Brazil";"Juan";"Sánchez";"Buenos Aires";"Public Official";"Politically Exposed Person";"Mr";"41"
"59";"2026/09/20";"M. Díaz;María Díaz Test";"Maria Diaz";"SANCTION";"Mock Company 3;Demo Holdings 1";"Peru";"";"1967-06-15";"I";"MOCK_GENERATOR";"2026/08/03";"2026/09/07";"MockSourceA;MockSourceB";"Fictitious mock record 42 for Smart Lists testing only";"99000000042";"MOCKP000042";"MOCKID0000042";"mock;test;sanction";"";"Córdoba;Peru";"María";"Díaz";"Córdoba";"Business Executive";"Sanctions";"Ms";"42"
"58";"2026/09/20";"C. Benítez;Carlos Benítez Test";"Carlos Benitez";"RISK";"Mock Company 4;Demo Holdings 2";"Argentina";"";"1968-07-16";"I";"MOCK_GENERATOR";"2026/08/04";"2026/09/08";"MockSourceA;MockSourceB";"Fictitious mock record 43 for Smart Lists testing only";"99000000043";"MOCKP000043";"MOCKID0000043";"mock;test;risk";"";"Rosario;Argentina";"Carlos";"Benítez";"Rosario";"Government Advisor";"High Risk Individual";"Dr";"43"
"57";"2026/09/20";"A. Suárez;Ana Suárez Test";"Ana Suarez";"WATCHLIST";"Mock Company 5;Demo Holdings 3";"Uruguay";"";"1969-08-17";"I";"MOCK_GENERATOR";"2026/08/05";"2026/09/09";"MockSourceA;MockSourceB";"Fictitious mock record 44 for Smart Lists testing only";"99000000044";"MOCKP000044";"MOCKID0000044";"mock;test;watchlist";"";"Mendoza;Uruguay";"Ana";"Suárez";"Mendoza";"Former Official";"Watchlist";"Lic";"44"
"56";"2026/09/20";"L. Rojas;Luis Rojas Test";"Luis Rojas";"PEP";"Mock Company 6;Demo Holdings 4";"Paraguay";"";"1970-09-18";"I";"MOCK_GENERATOR";"2026/08/06";"2026/09/10";"MockSourceA;MockSourceB";"Fictitious mock record 45 for Smart Lists testing only";"99000000045";"MOCKP000045";"MOCKID0000045";"mock;test;pep";"44";"La Plata;Paraguay";"Luis";"Rojas";"La Plata";"Private Individual";"Politically Exposed Person";"Ing";"45"
"55";"2026/09/20";"S. Rodríguez;Sofía Rodríguez Test";"Sofia Rodriguez";"SANCTION";"Mock Company 7;Demo Holdings 5";"Chile";"";"1971-10-19";"I";"MOCK_GENERATOR";"2026/08/07";"2026/09/11";"MockSourceA;MockSourceB";"Fictitious mock record 46 for Smart Lists testing only";"99000000046";"MOCKP000046";"MOCKID0000046";"mock;test;sanction";"";"Montevideo;Chile";"Sofía";"Rodríguez";"Montevideo";"Public Official";"Sanctions";"Mr";"46"
"54";"2026/09/20";"D. Martínez;Diego Martínez Test";"Diego Martinez";"RISK";"Mock Company 8;Demo Holdings 6";"Brazil";"";"1972-11-20";"I";"MOCK_GENERATOR";"2026/08/08";"2026/09/12";"MockSourceA;MockSourceB";"Fictitious mock record 47 for Smart Lists testing only";"99000000047";"MOCKP000047";"MOCKID0000047";"mock;test;risk";"";"Asunción;Brazil";"Diego";"Martínez";"Asunción";"Business Executive";"High Risk Individual";"Ms";"47"
"53";"2026/09/20";"L. Romero;Laura Romero Test";"Laura Romero";"WATCHLIST";"Mock Company 9;Demo Holdings 7";"Peru";"";"1973-12-21";"I";"MOCK_GENERATOR";"2026/08/09";"2026/09/13";"MockSourceA;MockSourceB";"Fictitious mock record 48 for Smart Lists testing only";"99000000048";"MOCKP000048";"MOCKID0000048";"mock;test;watchlist";"";"Santiago;Peru";"Laura";"Romero";"Santiago";"Government Advisor";"Watchlist";"Dr";"48"
"52";"2026/09/20";"M. Álvarez;Martín Álvarez Test";"Martin Alvarez";"PEP";"Mock Company 10;Demo Holdings 1";"Argentina";"";"1974-01-22";"I";"MOCK_GENERATOR";"2026/08/10";"2026/09/14";"MockSourceA;MockSourceB";"Fictitious mock record 49 for Smart Lists testing only";"99000000049";"MOCKP000049";"MOCKID0000049";"mock;test;pep";"";"Lima;Argentina";"Martín";"Álvarez";"Lima";"Former Official";"Politically Exposed Person";"Lic";"49"
"51";"2026/09/20";"V. Castro;Valentina Castro Test";"Valentina Castro";"SANCTION";"Mock Company 1;Demo Holdings 2";"Uruguay";"";"1975-02-23";"I";"MOCK_GENERATOR";"2026/08/11";"2026/09/15";"MockSourceA;MockSourceB";"Fictitious mock record 50 for Smart Lists testing only";"99000000050";"MOCKP000050";"MOCKID0000050";"mock;test;sanction";"49";"São Paulo;Uruguay";"Valentina";"Castro";"São Paulo";"Private Individual";"Sanctions";"Ing";"50"
"50";"2026/09/20";"J. Silva;Jorge Silva Test";"Jorge Silva";"RISK";"Mock Company 2;Demo Holdings 3";"Paraguay";"2024/01/01";"1976-03-24";"I";"MOCK_GENERATOR";"2026/08/12";"2026/09/16";"MockSourceA;MockSourceB";"Fictitious mock record 51 for Smart Lists testing only";"99000000051";"MOCKP000051";"MOCKID0000051";"mock;test;risk";"";"Buenos Aires;Paraguay";"Jorge";"Silva";"Buenos Aires";"Public Official";"High Risk Individual";"Mr";"51"
"49";"2026/09/20";"C. Gómez;Camila Gómez Test";"Camila Gomez";"WATCHLIST";"Mock Company 3;Demo Holdings 4";"Chile";"";"1977-04-25";"I";"MOCK_GENERATOR";"2026/08/13";"2026/09/17";"MockSourceA;MockSourceB";"Fictitious mock record 52 for Smart Lists testing only";"99000000052";"MOCKP000052";"MOCKID0000052";"mock;test;watchlist";"";"Córdoba;Chile";"Camila";"Gómez";"Córdoba";"Business Executive";"Watchlist";"Ms";"52"
"48";"2026/09/20";"P. López;Pablo López Test";"Pablo Lopez";"PEP";"Mock Company 4;Demo Holdings 5";"Brazil";"";"1978-05-26";"I";"MOCK_GENERATOR";"2026/08/14";"2026/09/18";"MockSourceA;MockSourceB";"Fictitious mock record 53 for Smart Lists testing only";"99000000053";"MOCKP000053";"MOCKID0000053";"mock;test;pep";"";"Rosario;Brazil";"Pablo";"López";"Rosario";"Government Advisor";"Politically Exposed Person";"Dr";"53"
"47";"2026/09/20";"L. Sánchez;Lucía Sánchez Test";"Lucia Sanchez";"SANCTION";"Mock Company 5;Demo Holdings 6";"Peru";"";"1979-06-27";"I";"MOCK_GENERATOR";"2026/08/15";"2026/09/01";"MockSourceA;MockSourceB";"Fictitious mock record 54 for Smart Lists testing only";"99000000054";"MOCKP000054";"MOCKID0000054";"mock;test;sanction";"";"Mendoza;Peru";"Lucía";"Sánchez";"Mendoza";"Former Official";"Sanctions";"Lic";"54"
"46";"2026/09/20";"F. Díaz;Federico Díaz Test";"Federico Diaz";"RISK";"Mock Company 6;Demo Holdings 7";"Argentina";"";"1980-07-01";"I";"MOCK_GENERATOR";"2026/08/16";"2026/09/02";"MockSourceA;MockSourceB";"Fictitious mock record 55 for Smart Lists testing only";"99000000055";"MOCKP000055";"MOCKID0000055";"mock;test;risk";"54";"La Plata;Argentina";"Federico";"Díaz";"La Plata";"Private Individual";"High Risk Individual";"Ing";"55"
"45";"2026/09/20";"J. Benítez;Julieta Benítez Test";"Julieta Benitez";"WATCHLIST";"Mock Company 7;Demo Holdings 1";"Uruguay";"";"1981-08-02";"I";"MOCK_GENERATOR";"2026/08/17";"2026/09/03";"MockSourceA;MockSourceB";"Fictitious mock record 56 for Smart Lists testing only";"99000000056";"MOCKP000056";"MOCKID0000056";"mock;test;watchlist";"";"Montevideo;Uruguay";"Julieta";"Benítez";"Montevideo";"Public Official";"Watchlist";"Mr";"56"
